X,Y,Z,Label
IMU prêt !
-0.13,0.07,1.02,1
-0.38,-0.03,1.89,1
-0.14,0.22,0.92,1
0.16,-0.11,-0.16,1
0.04,-0.12,0.27,1
-0.39,0.20,1.05,1
-0.60,0.16,1.90,1
-0.59,0.19,1.70,1
-0.21,0.20,0.75,1
0.18,0.00,-0.01,1
0.23,-0.19,0.11,1
-0.23,0.06,1.21,1
-0.50,0.13,1.90,1
-0.53,0.09,1.51,1
-0.15,-0.07,0.70,1
0.12,0.01,0.20,1
0.09,-0.11,0.21,1
-0.19,0.11,0.86,1
-0.49,-0.00,1.67,1
-0.59,0.09,1.68,1
-0.36,0.14,1.03,1
0.05,0.01,0.35,1
0.21,-0.09,0.11,1
-0.05,-0.06,0.63,1
-0.35,0.08,1.19,1
-0.56,-0.02,1.82,1
-0.44,0.14,1.53,1
-0.12,0.17,0.73,1
0.21,-0.09,-0.01,1
0.04,-0.09,0.35,1
-0.28,0.19,1.03,1
-0.43,0.02,1.73,1
-0.44,0.13,1.70,1
-0.20,0.13,0.93,1
0.09,0.00,0.28,1
0.17,-0.17,0.01,1
-0.32,0.03,1.15,1
-0.34,0.03,1.24,1
-0.61,-0.05,1.81,1
-0.22,0.06,1.05,1
0.17,0.04,-0.09,1
0.09,-0.26,0.34,1
-0.36,0.20,1.35,1
-0.56,0.19,2.36,1
-0.28,0.09,1.10,1
-0.03,0.00,0.37,1
0.07,-0.26,-0.07,1
-0.20,-0.03,0.70,1
-0.57,0.19,2.19,1
-0.27,0.24,1.43,1
0.07,-0.08,0.45,1
0.07,-0.32,0.08,1
-0.42,-0.19,0.49,1
-0.86,-0.01,3.17,1
-0.36,0.04,1.24,1
0.08,-0.00,0.00,1
-0.05,-0.06,-0.00,1
-0.30,0.18,2.36,1
-0.01,0.08,1.85,1
0.01,-0.08,0.24,1
-0.04,0.09,0.11,1
-0.20,-0.32,0.50,1
0.07,0.01,2.67,1
-0.09,0.07,0.40,1
-0.03,-0.00,-0.06,1
-0.09,-0.26,0.23,1
-0.17,0.12,2.13,1
-0.07,-0.22,2.11,1
-0.28,0.09,0.49,1
0.02,-0.03,0.15,1
0.01,-0.12,0.30,1
-0.30,0.37,2.15,1
-0.07,0.11,1.83,1
-0.12,-0.25,0.36,1
0.08,-0.06,0.03,1
-0.14,-0.43,0.36,1
-0.56,0.39,2.42,1
-0.28,0.07,1.47,1
-0.14,-0.21,0.45,1
-0.03,-0.35,-0.27,1
-0.33,-0.29,0.28,1
-0.70,0.53,2.65,1
-0.48,-0.09,1.83,1
-0.32,-0.13,0.19,1
0.04,-0.31,-0.56,1
-0.07,-0.04,0.92,1
-0.13,0.45,2.50,1
-0.09,-0.22,1.65,1
-0.13,-0.19,0.46,1
0.05,-0.28,-0.52,1
-0.18,-0.03,0.39,1
-0.13,0.39,2.53,1
-0.16,-0.34,1.79,1
-0.09,-0.17,0.42,1
0.03,-0.08,-0.31,1
-0.14,-0.14,0.36,1
-0.15,-0.02,2.13,1
-0.20,0.03,1.77,1
-0.16,-0.01,0.55,1
0.01,-0.27,-0.41,1
-0.20,-0.17,0.47,1
-0.38,0.48,2.56,1
-0.37,0.14,1.80,1
-0.29,-0.04,0.43,1
0.04,-0.32,-0.65,1
-0.14,-0.01,0.18,1
-0.44,0.11,2.08,1
-0.47,0.08,1.89,1
-0.35,0.03,0.71,1
0.03,-0.12,-0.29,1
-0.08,-0.09,0.40,1
-0.38,0.28,2.40,1
-0.49,0.30,1.68,1
-0.10,0.04,0.63,1
0.25,-0.38,-0.84,1
-0.31,-0.08,0.26,1
-0.55,0.47,2.28,1
-0.27,0.13,1.73,1
-0.14,-0.01,0.67,1
0.05,-0.27,-0.46,1
-0.31,-0.19,0.25,1
-0.50,0.37,2.48,1
-0.42,0.18,1.93,1
-0.17,-0.15,0.20,1
0.12,-0.55,-0.88,1
-0.51,-0.10,0.24,1
-0.84,0.72,3.19,1
-0.47,-0.00,1.58,1
-0.09,-0.21,-0.02,1
-0.04,-0.33,-0.42,1
-0.62,0.15,1.37,1
-0.56,0.65,2.87,1
-0.31,0.02,1.04,1
-0.06,-0.38,-0.46,1
-0.27,-0.29,-0.16,1
-0.71,0.37,1.86,1
-0.37,0.24,2.00,1
-0.20,-0.16,0.38,1
-0.01,-0.33,-0.52,1
-0.28,-0.06,0.61,1
-0.49,0.78,3.19,1
-0.43,0.13,1.73,1
-0.14,-0.26,-0.08,1
0.02,-0.44,-0.50,1
-0.39,0.02,1.35,1
-0.52,0.79,2.92,1
-0.48,0.23,1.24,1
0.07,-0.33,-0.00,1
-0.01,-0.42,-0.31,1
-0.31,0.06,2.08,1
-0.29,0.34,2.37,1
-0.24,-0.04,0.78,1
0.04,-0.30,-0.47,1
-0.18,-0.25,0.09,1
-0.58,0.42,2.92,1
-0.34,0.03,1.50,1
-0.06,-0.39,-0.05,1
-0.08,-0.32,-0.24,1
-0.43,-0.05,1.54,1
-0.33,0.55,2.49,1
-0.22,-0.17,0.86,1
-0.03,-0.54,-0.65,1
-0.21,-0.32,0.12,1
-0.59,0.68,2.78,1
-0.40,0.20,1.67,1
-0.15,-0.28,0.32,1
0.02,-0.46,-0.46,1
-0.34,0.08,1.13,1
-0.35,0.74,3.14,1
-0.33,0.06,1.10,1
-0.00,-0.30,-0.17,1
-0.00,-0.39,-0.14,1
-0.52,0.15,1.91,1
-0.59,0.50,1.90,1
-0.32,-0.07,0.51,1
0.15,-0.58,-0.73,1
-0.11,-0.14,0.54,1
-0.45,0.69,2.62,1
-0.40,0.24,1.62,1
-0.08,-0.21,0.15,1
0.03,-0.36,-0.45,1
-0.35,0.05,1.25,1
-0.21,0.66,2.68,1
-0.33,-0.15,0.67,1
0.00,-0.22,-0.31,1
0.12,-0.18,-0.03,1
-0.55,0.23,2.01,1
-0.44,0.34,2.15,1
-0.24,-0.07,0.52,1
0.03,-0.18,-0.43,1
-0.16,-0.19,0.27,1
-0.69,0.46,2.77,1
-0.42,0.18,1.55,1
-0.15,-0.01,0.23,1
0.14,-0.34,-0.42,1
-0.33,-0.05,1.08,1
-0.57,0.79,3.07,1
-0.23,0.13,0.95,1
0.07,-0.30,-0.01,1
-0.07,-0.23,0.25,1
-0.60,0.43,1.81,1
-0.49,0.60,2.11,1
-0.17,-0.04,0.37,1
0.03,-0.47,-0.14,1
-0.44,0.20,0.98,1
-0.76,0.61,2.19,1
-0.40,0.14,1.16,1
-0.01,-0.26,0.02,1
-0.09,-0.17,0.09,1
-0.77,0.60,1.93,1
-0.60,0.40,1.47,1
-0.27,0.06,0.72,1
-0.09,-0.18,-0.06,1
-0.13,-0.33,-0.35,1
-0.64,0.13,1.48,1
-0.50,0.57,2.42,1
-0.42,0.24,1.07,1
-0.30,0.20,0.59,1
-0.18,-0.18,0.36,1
-0.18,-0.25,0.23,1
-0.62,0.96,2.87,1
-0.31,0.07,1.12,1
-0.15,-0.11,0.22,1
-0.12,-0.14,-0.09,1
-0.44,0.09,1.00,1
-0.77,0.74,1.85,1
-0.47,0.29,1.28,1
-0.18,0.09,0.82,1
-0.19,-0.00,0.37,1
-0.11,0.14,0.66,1
-0.18,0.25,1.07,1
-0.06,-0.00,0.60,1
-0.08,0.03,0.57,1
-0.45,0.31,1.49,1
-0.59,0.40,1.70,1
-0.24,0.11,0.66,1
0.12,-0.27,-0.03,1
-0.12,-0.21,0.25,1
-0.47,0.81,2.77,1
-0.23,0.17,0.98,1
0.02,-0.19,0.10,1
-0.06,-0.30,0.07,1
-0.40,0.48,2.22,1
-0.35,0.35,1.59,1
-0.05,-0.16,0.26,1
0.08,-0.29,-0.15,1
-0.37,0.18,1.10,1
-0.40,0.81,2.67,1
-0.24,0.12,0.98,1
0.03,-0.25,0.09,1
-0.11,-0.23,-0.08,1
-0.64,0.65,2.20,1
-0.46,0.33,1.67,1
-0.19,-0.03,0.62,1
-0.05,-0.26,-0.36,1
-0.26,-0.07,0.30,1
-0.44,0.80,2.83,1
-0.20,0.18,1.47,1
-0.09,-0.04,0.30,1
0.03,-0.26,-0.28,1
-0.33,-0.06,0.75,1
-0.28,0.76,2.66,1
-0.23,0.23,1.04,1
-0.00,-0.31,-0.13,1
-0.17,-0.20,-0.11,1
-0.58,0.63,2.53,1
-0.37,0.27,1.62,1
-0.02,-0.25,0.10,1
-0.01,-0.29,-0.22,1
-0.42,0.05,0.90,1
-0.41,0.90,3.41,1
-0.39,0.22,1.08,1
0.00,-0.28,-0.32,1
0.04,-0.35,-0.41,1
-0.57,0.18,1.30,1
-0.33,0.82,3.64,1
-0.56,0.16,1.08,1
0.03,-0.37,-0.56,1
0.10,-0.35,-0.35,1
-0.76,0.28,1.90,1
-0.38,0.62,2.86,1
-0.41,-0.00,0.79,1
0.03,-0.38,-0.61,1
-0.13,-0.25,-0.18,1
